s2.a0 s2.g0 tau2.a0 tau2.g0 beta0 beta1 beta2 d0.a0 d0.g0 d0.a1 d0.g1 d1.a0 d1.g0 d1.a1 d1.g1 nug.a0 nug.g0 nug.a1 nug.g1 
2.580648068290650e+00 1.583785680558745e-01 5.000000000000000e+00 1.000000000000000e+01 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 2.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+00 2.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00 
2.486359538159052e+00 1.484846218278741e-01 5.000000000000000e+00 1.000000000000000e+01 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 2.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+00 2.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00 
2.594171781116700e+00 1.246701217254400e-01 5.000000000000000e+00 1.000000000000000e+01 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 2.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+00 2.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00 
2.570412355950051e+00 9.480597134616829e-02 5.000000000000000e+00 1.000000000000000e+01 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 2.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+00 2.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00 
2.899704408126390e+00 8.821586768168799e-02 5.000000000000000e+00 1.000000000000000e+01 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 2.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+00 2.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00 
2.850439606341732e+00 7.691611384005433e-02 5.000000000000000e+00 1.000000000000000e+01 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 2.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+00 2.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00 
2.778373103190542e+00 6.625140945075907e-02 5.000000000000000e+00 1.000000000000000e+01 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 2.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+00 2.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00 
2.794453635365840e+00 4.588806624954030e-02 5.000000000000000e+00 1.000000000000000e+01 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 2.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+00 2.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00 
2.694070670698467e+00 5.372469842648704e-02 5.000000000000000e+00 1.000000000000000e+01 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 2.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+00 2.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00 
2.580630313255543e+00 7.012394393238926e-02 5.000000000000000e+00 1.000000000000000e+01 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 2.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+00 2.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00 
2.482296671824971e+00 7.409799642613983e-02 5.000000000000000e+00 1.000000000000000e+01 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 2.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+00 2.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00 
2.458428160241211e+00 8.097621710919983e-02 5.000000000000000e+00 1.000000000000000e+01 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 2.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+00 2.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00 
2.451749853050992e+00 1.033564305820632e-01 5.000000000000000e+00 1.000000000000000e+01 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 2.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+00 2.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00 
2.472410995157420e+00 1.525661036570422e-01 5.000000000000000e+00 1.000000000000000e+01 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 2.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+00 2.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00 
2.378468668239585e+00 1.411550074778527e-01 5.000000000000000e+00 1.000000000000000e+01 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 2.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+00 2.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00 
2.329279367152267e+00 1.668086313527219e-01 5.000000000000000e+00 1.000000000000000e+01 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 2.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+00 2.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00 
2.296759844681265e+00 1.468717261462209e-01 5.000000000000000e+00 1.000000000000000e+01 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 2.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+00 2.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00 
2.348314617441862e+00 1.622134757450662e-01 5.000000000000000e+00 1.000000000000000e+01 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 2.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+00 2.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00 
2.266350607259329e+00 2.272531157503188e-01 5.000000000000000e+00 1.000000000000000e+01 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 1.000000000000000e+00 2.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+00 2.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+01 1.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00 1.000000000000000e+00 
